rowid	studyid	popid	speciesid	ord	fam	gen	sp	full_sp	habitat	source	development	acclim_stage	ctm_stage	tsr	sex	stand_lat	lat_bin	mass	all_mass	acclim_temp	cont_temp	acclim_dur	acclim_type	ctlimit	ramp_rate	groupID	treat	treatSD	treatN	cont	contSD	contN	simpctend	data_type	author	title	journal	year	webpage	ARR	var	precision	diff
370	295	76	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	27	29.5	NA	Constant	Ctmin	0.1	189	6.7938144	0.48409719	20	7.8453608	0.27662697	20	No response to stimulus	Graph	"Schou, M"	Metabolic and functional characterization of effects of developmental temperature in Drosophila melanogaster	"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology"	2017	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5336569/	0.42061856	0.002486981	20.05228206	-2.5
371	295	76	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	29.5	31	NA	Constant	Ctmin	0.1	189	7.8453608	0.27662697	20	7.9845361	0.96819438	20	No response to stimulus	Graph	"Schou, M"	Metabolic and functional characterization of effects of developmental temperature in Drosophila melanogaster	"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology"	2017	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5336569/	0.092783533	0.022531619	6.661987358	-1.5
372	313	77	57	Coleoptera	Hydrophilidae	Enochrus	politus	Enochrus politus	Aquatic	Field	Holo	Adult	Adult	within	Mixed	38.02	30 - 40	NA	8.97	20	15	168	Constant	Ctmax	1	190	53.8086304	1.51028982	20	53.9212008	1.51028982	20	Loss of activity	Graph	"Botella-Cruz, M"	Plasticity of thermal limits in the aquatic saline beetle Enochrus politus (Küster 1849)(Coleoptera: Hydrophilidae) under changing environmental conditions	Limnetica	2016	https://www.limnetica.com/pt/plasticity-thermal-limits-aquatic-saline-beetle-enochruspolitus-k%C3%BCster-1849-coleoptera-hydrophilidae	-0.02251408	0.009123901	10.4691087	5
373	313	77	57	Coleoptera	Hydrophilidae	Enochrus	politus	Enochrus politus	Aquatic	Field	Holo	Adult	Adult	within	Mixed	38.02	30 - 40	NA	8.97	25	20	168	Constant	Ctmax	1	190	54.0337711	1.51028982	20	53.8086304	1.51028982	20	Loss of activity	Graph	"Botella-Cruz, M"	Plasticity of thermal limits in the aquatic saline beetle Enochrus politus (Küster 1849)(Coleoptera: Hydrophilidae) under changing environmental conditions	Limnetica	2016	https://www.limnetica.com/pt/plasticity-thermal-limits-aquatic-saline-beetle-enochruspolitus-k%C3%BCster-1849-coleoptera-hydrophilidae	0.04502814	0.009123901	10.4691087	5
374	328	78	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	55.95	50 - 60	NA	0.95	15	25	144	Constant	Ctmin	0.1	191	3.8148893	1.15177747	20	6.2615694	1.15177747	20	No response to stimulus	Graph	"Macmillan, H"	Sodium distribution predicts the chill tolerance of Drosophila melanogaster raised in different thermal conditions	American Journal of Physiology	2015	https://journals.physiology.org/doi/full/10.1152/ajpregu.00465.2014	0.24466801	0.001326591	27.45563047	-10
375	328	78	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Early life	Adult	within	Female	55.95	50 - 60	NA	0.95	15	25	NA	Constant	Ctmin	0.1	192	4.6519115	1.22376356	20	6.2615694	1.15177747	20	No response to stimulus	Graph	"Macmillan, H"	Sodium distribution predicts the chill tolerance of Drosophila melanogaster raised in different thermal conditions	American Journal of Physiology	2015	https://journals.physiology.org/doi/full/10.1152/ajpregu.00465.2014	0.16096579	0.001412094	26.61142621	-10
376	355	79	74	Orthoptera	Acrididae	Melanoplus	sanguinipes	Melanoplus sanguinipes	Terrestrial	Laboratory	Hemi	Early life	Adult	within	Mixed	40	40 - 50	NA	395	24	27	NA	Constant	Ctmin	0.2	193	8.15	0.74888	32	9.38	1.081715	32	Loss of righting ability 	Table	"Buckley, L"	Elevational clines in the temperature dependence of insect performance and implications for ecological responses to climate change	Conservation Physiology	2014	https://academic.oup.com/conphys/article/2/1/cou035/329779	0.41	0.006010169	12.89901856	-3
377	355	79	74	Orthoptera	Acrididae	Melanoplus	sanguinipes	Melanoplus sanguinipes	Terrestrial	Laboratory	Hemi	Early life	Adult	within	Mixed	40	40 - 50	NA	395	27	24	NA	Constant	Ctmax	0.2	194	58.7	1.49776	32	53.9	2.107958	32	Loss of righting ability 	Table	"Buckley, L"	Elevational clines in the temperature dependence of insect performance and implications for ecological responses to climate change	Conservation Physiology	2014	https://academic.oup.com/conphys/article/2/1/cou035/329779	1.6	0.023217958	6.562782147	3
378	360	80	27	Diptera	Culicidae	Culex	pipiens	Culex pipiens	Terrestrial	Field	Holo	Early life	Adult	within	Female	38.79	30 - 40	NA	1.525	26	18	NA	Constant	Ctmax	0.5	195	42.8198758	0.49689441	16	42.4389234	0.76190476	16	Death	Graph	"Gray, E"	Thermal acclimation in a complex life cycle: The effects of larval and adult thermal conditions on metabolic rate and heat resistance in Culex pipiens (Diptera: Culicidae)	Journal of Insect Physiology	2013	https://www.sciencedirect.com/science/article/abs/pii/S0022191013001637	0.04761905	0.000808011	35.17964513	8
379	360	80	27	Diptera	Culicidae	Culex	pipiens	Culex pipiens	Terrestrial	Field	Holo	Adult	Adult	within	Female	38.79	30 - 40	NA	1.525	26	18	96	Constant	Ctmax	0.5	196	42.484472	0.24789449	14	42.4389234	0.76190476	16	Death	Graph	"Gray, E"	Thermal acclimation in a complex life cycle: The effects of larval and adult thermal conditions on metabolic rate and heat resistance in Culex pipiens (Diptera: Culicidae)	Journal of Insect Physiology	2013	https://www.sciencedirect.com/science/article/abs/pii/S0022191013001637	0.005693575	0.000635478	39.66886547	8
380	360	80	27	Diptera	Culicidae	Culex	pipiens	Culex pipiens	Terrestrial	Field	Holo	Whole life	Adult	between	Female	38.79	30 - 40	NA	1.525	26	18	NA	Constant	Ctmax	0.5	197	43.4037267	0.38733513	14	42.4389234	0.76190476	16	Death	Graph	"Gray, E"	Thermal acclimation in a complex life cycle: The effects of larval and adult thermal conditions on metabolic rate and heat resistance in Culex pipiens (Diptera: Culicidae)	Journal of Insect Physiology	2013	https://www.sciencedirect.com/science/article/abs/pii/S0022191013001637	0.120600413	0.000734336	36.90222954	8
381	366	81	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	NA		NA	0.95	25	11	120	Constant	Ctmax	0.1	198	40.1291028	0.35010941	25	39.5864333	0.48140044	25	Loss of activity	Graph	"Colinet, H"	Proteomic profiling of thermal acclimation in Drosophila melanogaster	Insect Biochemistry and Molecular Biology	2013	https://www.sciencedirect.com/science/article/pii/S0965174813000155	0.038762107	7.23E-05	117.5975783	14
382	366	81	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	NA		NA	0.95	31	25	120	Constant	Ctmax	0.1	198	40.4485777	0.37199125	25	40.1291028	0.35010941	25	Loss of activity	Graph	"Colinet, H"	Proteomic profiling of thermal acclimation in Drosophila melanogaster	Insect Biochemistry and Molecular Biology	2013	https://www.sciencedirect.com/science/article/pii/S0965174813000155	0.053245817	0.000289949	58.72718735	6
383	366	81	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	NA		NA	0.95	11	25	120	Constant	Ctmin	0.1	199	3.971223	0.47961631	25	5.6402878	0.76738609	25	Loss of activity	Graph	"Colinet, H"	Proteomic profiling of thermal acclimation in Drosophila melanogaster	Insect Biochemistry and Molecular Biology	2013	https://www.sciencedirect.com/science/article/pii/S0965174813000155	0.119218914	0.000167125	77.35334524	-14
384	366	81	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	NA		NA	0.95	25	31	120	Constant	Ctmin	0.1	199	5.6402878	0.76738609	25	7.3285372	0.28776978	25	Loss of activity	Graph	"Colinet, H"	Proteomic profiling of thermal acclimation in Drosophila melanogaster	Insect Biochemistry and Molecular Biology	2013	https://www.sciencedirect.com/science/article/pii/S0965174813000155	0.2813749	0.000746325	36.6046189	-6
385	373	82	5	Coleoptera	Tenebrionidae	Alphitobius	diaperinus	Alphitobius diaperinus	Terrestrial	Laboratory	Holo	Adult	Adult	within	Unknown	48.23	40 - 50	15.3	15.3	10	15	48	Constant	Ctmin	0.75	200	3.657845	0.83364839	12	4.6786389	0.731569	12	Loss of activity	Graph	"Renault, D"	Impact of different acclimation temperatures and duration on the chill coma temperature and oxygen consumption in the tenebrionid beetle Alphitobius diaperinus	Physiological Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3032.2012.00851.x	0.20415878	0.004100543	15.6163425	-5
386	373	82	5	Coleoptera	Tenebrionidae	Alphitobius	diaperinus	Alphitobius diaperinus	Terrestrial	Laboratory	Holo	Adult	Adult	within	Unknown	48.23	40 - 50	15.3	15.3	15	20	48	Constant	Ctmin	0.75	200	4.6786389	0.731569	12	5.6994329	1.27599244	12	Loss of activity	Graph	"Renault, D"	Impact of different acclimation temperatures and duration on the chill coma temperature and oxygen consumption in the tenebrionid beetle Alphitobius diaperinus	Physiological Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3032.2012.00851.x	0.2041588	0.007211166	11.77598497	-5
387	373	82	5	Coleoptera	Tenebrionidae	Alphitobius	diaperinus	Alphitobius diaperinus	Terrestrial	Laboratory	Holo	Adult	Adult	within	Unknown	48.23	40 - 50	15.3	15.3	10	15	168	Constant	Ctmin	0.75	201	3.0623819	0.6805293	12	4.2192817	0.93572779	12	Loss of activity	Graph	"Renault, D"	Impact of different acclimation temperatures and duration on the chill coma temperature and oxygen consumption in the tenebrionid beetle Alphitobius diaperinus	Physiological Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3032.2012.00851.x	0.23137996	0.004462355	14.96986628	-5
388	373	82	5	Coleoptera	Tenebrionidae	Alphitobius	diaperinus	Alphitobius diaperinus	Terrestrial	Laboratory	Holo	Adult	Adult	within	Unknown	48.23	40 - 50	15.3	15.3	15	20	168	Constant	Ctmin	0.75	201	4.2192817	0.93572779	12	5.6994329	1.27599244	12	Loss of activity	Graph	"Renault, D"	Impact of different acclimation temperatures and duration on the chill coma temperature and oxygen consumption in the tenebrionid beetle Alphitobius diaperinus	Physiological Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3032.2012.00851.x	0.29603024	0.008345811	10.9462594	-5
389	382	83	75	Coleoptera	Carabidae	Merizodus	soledadinus	Merizodus soledadinus	Terrestrial	Field	Holo	Adult	Adult	within	Mixed	49.35	10	8.05	8.05	4	8	168	Constant	Ctmin	0.5	202	-5.5422241	0.30192678	30	-4.3219064	0.60346917	26	Loss of clinging ability	Graph	"Lalouette, L"	Thermal biology of the alien ground beetle Merizodus soledadinus introduced to the Kerguelen Islands	Polar Biology	2012	https://link.springer.com/article/10.1007/s00300-011-1096-9	0.305079425	0.001065337	30.637724	-4
390	382	83	75	Coleoptera	Carabidae	Merizodus	soledadinus	Merizodus soledadinus	Terrestrial	Field	Holo	Adult	Adult	within	Mixed	49.35	10	8.05	8.05	8	16	168	Constant	Ctmin	0.5	202	-4.3219064	0.60346917	26	-3.4151338	0.20010348	30	Loss of clinging ability	Graph	"Lalouette, L"	Thermal biology of the alien ground beetle Merizodus soledadinus introduced to the Kerguelen Islands	Polar Biology	2012	https://link.springer.com/article/10.1007/s00300-011-1096-9	0.113346575	0.00023971	64.58874461	-8
391	382	83	75	Coleoptera	Carabidae	Merizodus	soledadinus	Merizodus soledadinus	Terrestrial	Field	Holo	Adult	Adult	within	Mixed	49.35	10	8.05	8.05	8	4	168	Constant	Ctmax	0.5	203	37.7120743	1.45210984	26	37.9837461	0.56989159	26	Loss of clinging ability	Graph	"Lalouette, L"	Thermal biology of the alien ground beetle Merizodus soledadinus introduced to the Kerguelen Islands	Polar Biology	2012	https://link.springer.com/article/10.1007/s00300-011-1096-9	-0.06791795	0.005849518	13.07494787	4
392	382	83	75	Coleoptera	Carabidae	Merizodus	soledadinus	Merizodus soledadinus	Terrestrial	Field	Holo	Adult	Adult	within	Mixed	49.35	10	8.05	8.05	16	8	168	Constant	Ctmax	0.5	203	37.9674923	0.30922853	26	37.7120743	1.45210984	26	Loss of clinging ability	Graph	"Lalouette, L"	Thermal biology of the alien ground beetle Merizodus soledadinus introduced to the Kerguelen Islands	Polar Biology	2012	https://link.springer.com/article/10.1007/s00300-011-1096-9	0.03192725	0.001324667	27.47556944	8
393	418	84	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	33.94	10	NA	6.46	25	20	168	Constant	Ctmax	0.25	204	42.3705882	0.41758769	10	42	0.42707832	10	No response to stimulus	Graph	"Nyamukondiwa, C"	Within-generation variation of critical thermal limits in adult Mediterranean and Natal fruit flies Ceratitis capitata and Ceratitis rosa: Thermal history affects short-term responses to temperature	Physiological Entomology	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2010.00736.x	0.07411764	0.001427101	26.47113553	5
394	418	84	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	33.94	10	NA	6.46	30	25	168	Constant	Ctmax	0.25	204	41.8	0.41758769	10	42.3705882	0.41758769	10	No response to stimulus	Graph	"Nyamukondiwa, C"	Within-generation variation of critical thermal limits in adult Mediterranean and Natal fruit flies Ceratitis capitata and Ceratitis rosa: Thermal history affects short-term responses to temperature	Physiological Entomology	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2010.00736.x	-0.11411764	0.001395036	26.77363379	5
395	418	84	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	33.94	10	NA	6.46	25	20	2	Constant	Ctmax	0.25	205	42.3705882	0.41758769	10	41.9117647	0.41758769	10	No response to stimulus	Graph	"Nyamukondiwa, C"	Within-generation variation of critical thermal limits in adult Mediterranean and Natal fruit flies Ceratitis capitata and Ceratitis rosa: Thermal history affects short-term responses to temperature	Physiological Entomology	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2010.00736.x	0.0917647	0.001395036	26.77363379	5
396	418	84	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	33.94	10	NA	6.46	30	25	2	Constant	Ctmax	0.25	205	41.7411765	0.42707832	10	42.3705882	0.41758769	10	No response to stimulus	Graph	"Nyamukondiwa, C"	Within-generation variation of critical thermal limits in adult Mediterranean and Natal fruit flies Ceratitis capitata and Ceratitis rosa: Thermal history affects short-term responses to temperature	Physiological Entomology	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2010.00736.x	-0.12588234	0.001427101	26.47113553	5
397	418	85	20	Diptera	Tephritidae	Ceratitis	rosa	Ceratitis rosa	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	33.94	10	NA	9.5	25	20	168	Constant	Ctmax	0.25	206	42.0823529	0.31319076	10	42.2411765	0.33217202	10	No response to stimulus	Graph	"Nyamukondiwa, C"	Within-generation variation of critical thermal limits in adult Mediterranean and Natal fruit flies Ceratitis capitata and Ceratitis rosa: Thermal history affects short-term responses to temperature	Physiological Entomology	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2010.00736.x	-0.03176472	0.000833707	34.63325615	5
