Species	Trophic.guild	Locomotion.mode	Activity
Coptotermes formosanus	Decomposer	Flying	Nocturnal
Odontotermes formosanus	Decomposer	Walking	Nocturnal
Reticulitermes flavipes	Decomposer	Walking	Nocturnal
Reticulitermes flavipes	Decomposer	Walking	Nocturnal
Rhyzopertha dominica	Herbivore	Flying	Diurnal
Rhyzopertha dominica	Herbivore	Flying	Diurnal
Cantharis fusca	Carnivore	Walking	Nocturnal
Cantharis fusca	Carnivore	Walking	Nocturnal
Cantharis livida	Carnivore	Walking	Nocturnal
Abax parallelepipedus	Carnivore	Walking	Nocturnal
Abax parallelepipedus	Carnivore	Walking	Nocturnal
Abax parallelepipedus	Carnivore	Walking	Nocturnal
Abax parallelepipedus	Carnivore	Walking	Nocturnal
Abax parallelepipedus	Carnivore	Walking	Nocturnal
Calosoma affine	Carnivore	Walking	Nocturnal
Carabus coriaceus	Carnivore	Walking	Nocturnal
Carabus coriaceus	Carnivore	Walking	Nocturnal
Carabus coriaceus	Carnivore	Walking	Nocturnal
Carabus coriaceus	Carnivore	Walking	Nocturnal
Carabus coriaceus	Carnivore	Walking	Nocturnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus hungaricus	Carnivore	Walking	Diurnal
Carabus nemoralis	Carnivore	Walking	Nocturnal
Carabus olympiae	Carnivore	Walking	Nocturnal
Carabus olympiae	Carnivore	Walking	Nocturnal
Carabus olympiae	Carnivore	Walking	Nocturnal
Carabus olympiae	Carnivore	Walking	Nocturnal
Carabus problematicus	Carnivore	Walking	Nocturnal
Carabus problematicus	Carnivore	Walking	Nocturnal
Carabus ullrichii	Carnivore	Walking	Nocturnal
Carabus ullrichii	Carnivore	Walking	Nocturnal
Harpalus rufipes	Carnivore	Walking	Nocturnal
Harpalus rufipes	Carnivore	Walking	Nocturnal
Pterostichus melanarius	Carnivore	Walking	Nocturnal
Pterostichus melanarius	Carnivore	Walking	Nocturnal
Pterostichus niger	Carnivore	Walking	Nocturnal
Pterostichus niger	Carnivore	Walking	Nocturnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Anoplophora glabripennis	Decomposer	Flying	Diurnal
Cerambyx cerdo	Decomposer	Flying	Diurnal
Cerambyx cerdo	Decomposer	Flying	Diurnal
Cerambyx cerdo	Decomposer	Flying	Nocturnal
Cerambyx cerdo	Decomposer	Flying	Nocturnal
Cerambyx welensii	Decomposer	Flying	Nocturnal
Cerambyx welensii	Decomposer	Flying	Nocturnal
Monochamus alternatus	Decomposer	Flying	Nocturnal
Monochamus alternatus	Decomposer	Flying	Nocturnal
Monochamus alternatus	Decomposer	Flying	Nocturnal
Monochamus alternatus	Decomposer	Flying	Nocturnal
Monochamus galloprovincialis	Decomposer	Flying	Nocturnal
Monochamus galloprovincialis	Decomposer	Flying	Nocturnal
Monochamus galloprovincialis	Decomposer	Flying	Nocturnal
Monochamus galloprovincialis	Decomposer	Flying	Nocturnal
Rosalia alpina	Decomposer	Flying	Diurnal
Rosalia alpina	Decomposer	Flying	Diurnal
Rosalia alpina	Decomposer	Flying	Diurnal
Rosalia alpina	Decomposer	Flying	Diurnal
Altica subplicata	Herbivore	Walking	Diurnal
Diabrotica virgifera	Herbivore	Flying	Diurnal
Henosepilachna vigintioctopunctata	Herbivore	Flying	Diurnal
Henosepilachna vigintioctopunctata	Herbivore	Flying	Diurnal
Cosmopolites sordidus	Herbivore	Walking	Nocturnal
Dendroctonus armandi	Decomposer	Flying	Diurnal
Dendroctonus frontalis	Decomposer	Flying	Diurnal
Dendroctonus frontalis	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus ponderosae	Decomposer	Flying	Diurnal
Dendroctonus pseudotsugae	Decomposer	Flying	Diurnal
Eucryptorrhynchus scrobiculatus	Herbivore	Walking	Nocturnal
Hylobius warreni	Decomposer	Walking	Nocturnal
Hylobius warreni	Decomposer	Walking	Nocturnal
Ips typographus	Decomposer	Flying	Diurnal
Platypus koryoensis	Decomposer	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus ferrugineus	Herbivore	Flying	Diurnal
Rhynchophorus palmarum	Herbivore	Flying	Diurnal
Rhynchophorus palmarum	Herbivore	Flying	Diurnal
Rhynchophorus vulneratus	Herbivore	Flying	Diurnal
Rhynchophorus vulneratus	Herbivore	Flying	Diurnal
Rhyssomatus lineaticollis	Herbivore	Flying	Diurnal
Euwallacea fornicatus	Herbivore	Flying	Diurnal
Agriotes obscurus	Herbivore	Walking	Diurnal
Elater ferrugineus	Decomposer	Flying	Diurnal
Elater ferrugineus	Decomposer	Flying	Diurnal
Elater ferrugineus	Decomposer	Flying	Diurnal
Melanotus okinawensis	Herbivore	Crawling	Diurnal
Melanotus sakishimensis	Herbivore	Flying	Diurnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Lucanus cervus	Decomposer	Flying	Nocturnal
Canthon rutilans cyanescens	Decomposer	Walking	Diurnal
Canthon rutilans cyanescens	Decomposer	Walking	Diurnal
Canthon rutilans cyanescens	Decomposer	Walking	Diurnal
Canthon rutilans cyanescens	Decomposer	Walking	Diurnal
Coprophanaeus saphirinus	Decomposer	Flying	Diurnal
Coprophanaeus saphirinus	Decomposer	Flying	Diurnal
Coprophanaeus saphirinus	Decomposer	Flying	Diurnal
Deltochilum brasiliense	Decomposer	Flying	Nocturnal
Deltochilum morbilosum	Decomposer	Walking	Nocturnal
Deltochilum morbilosum	Decomposer	Walking	Nocturnal
Deltochilum morbilosum	Decomposer	Walking	Nocturnal
Deltochilum morbilosum	Decomposer	Walking	Nocturnal
Deltochilum multicolor	Decomposer	Flying	Nocturnal
Deltochilum multicolor	Decomposer	Flying	Nocturnal
Deltochilum multicolor	Decomposer	Flying	Nocturnal
Deltochilum multicolor	Decomposer	Flying	Nocturnal
Deltochilum rubripenne	Decomposer	Flying	Diurnal
Deltochilum rubripenne	Decomposer	Flying	Diurnal
Deltochilum rubripenne	Decomposer	Flying	Diurnal
Dichotomius sericeus	Decomposer	Flying	Nocturnal
Dichotomius sericeus	Decomposer	Flying	Nocturnal
Dichotomius sericeus	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Osmoderma eremita	Decomposer	Flying	Nocturnal
Scapanes australis australis	Herbivore	Flying	Nocturnal
Scapanes australis australis	Herbivore	Flying	Nocturnal
Bolitotherus cornutus	Decomposer	Walking	Nocturnal
Bolitotherus cornutus	Decomposer	Walking	Nocturnal
Cyphogenia gibba	Decomposer	Walking	Nocturnal
Cyphogenia gibba	Decomposer	Walking	Nocturnal
Cyphogenia gibba	Decomposer	Walking	Nocturnal
Tentyria gigas	Decomposer	Walking	Diurnal
Tentyria gigas	Decomposer	Walking	Diurnal
Liriomyza trifolii	Herbivore	Flying	Diurnal
Liriomyza trifolii	Herbivore	Flying	Diurnal
Aedes aegypti	Carnivore	Flying	Diurnal
Aedes aegypti	Carnivore	Flying	Diurnal
Aedes aegypti	Carnivore	Flying	Diurnal
Aedes notoscriptus	Carnivore	Flying	Diurnal
Aedes notoscriptus	Carnivore	Flying	Diurnal
Culex pipiens fatigans	Carnivore	Flying	Diurnal
Culex pipiens pallens	Carnivore	Flying	Diurnal
Phlebotomus argentipes	Carnivore	Flying	Nocturnal
Phlebotomus argentipes	Carnivore	Flying	Nocturnal
Phlebotomus langeroni	Carnivore	Flying	Nocturnal
Phlebotomus papatasi	Carnivore	Flying	Nocturnal
Hammerschmidtia ferruginea	Decomposer	Flying	Diurnal
Hammerschmidtia ferruginea	Decomposer	Flying	Diurnal
Zeugodacus cucurbitae	Herbivore	Flying	Diurnal
Neophilaenus campestris	Herbivore	Flying	Diurnal
Neophilaenus campestris	Herbivore	Flying	Diurnal
Cimex hemipterus	Carnivore	Walking	Nocturnal
Cimex hemipterus	Carnivore	Walking	Nocturnal
Spartocera dentiventris	Herbivore	Flying	Diurnal
Spartocera dentiventris	Herbivore	Flying	Diurnal
Delphacodes scolochloa	Herbivore	Flying	Diurnal
Delphacodes scolochloa	Herbivore	Flying	Diurnal
Delphacodes scolochloa	Herbivore	Walking	Diurnal
Lycorma delicatula	Herbivore	Walking	Diurnal
Lycorma delicatula	Herbivore	Walking	Diurnal
Lycorma delicatula	Herbivore	Walking	Diurnal
Lycorma delicatula	Herbivore	Walking	Diurnal
Potamobates tridentatus	Carnivore	Walking	Diurnal
Potamobates tridentatus	Carnivore	Walking	Diurnal
Potamobates tridentatus	Carnivore	Walking	Diurnal
Lygus hesperus	Herbivore	Walking	Nocturnal
Lygus hesperus	Herbivore	Flying	Nocturnal
Mepraia spinolai	Carnivore	Walking	Diurnal
Mepraia spinolai	Carnivore	Walking	Diurnal
Triatoma gerstaeckeri	Carnivore	Walking	Nocturnal
Triatoma gerstaeckeri	Carnivore	Walking	Nocturnal
Triatoma sanguisuga	Carnivore	Walking	Nocturnal
Triatoma sanguisuga	Carnivore	Walking	Nocturnal
Euschistus servus	Herbivore	Flying	Diurnal
Euschistus servus	Herbivore	Flying	Diurnal
Murgantia histrionica	Herbivore	Walking	Diurnal
Murgantia histrionica	Herbivore	Walking	Diurnal
Tingis ampliata	Herbivore	Walking	Diurnal
Tingis ampliata	Herbivore	Walking	Diurnal
Andrena hattorfiana	Herbivore	Flying	Diurnal
Andrena hattorfiana	Herbivore	Flying	Diurnal
Apis mellifera	Herbivore	Flying	Diurnal
Bombus hortorum	Herbivore	Flying	Diurnal
Bombus lapidarius	Herbivore	Flying	Diurnal
Bombus muscorum	Herbivore	Flying	Diurnal
Bombus ruderatus	Herbivore	Flying	Diurnal
Bombus terrestris	Herbivore	Flying	Diurnal
Bombus terrestris	Herbivore	Flying	Diurnal
Bombus terrestris	Herbivore	Flying	Diurnal
Bombus terrestris	Herbivore	Flying	Diurnal
Exaerete frontalis	Herbivore	Flying	Diurnal
Melipona subnitida	Herbivore	Flying	Diurnal
Xylocopa flavorufa	Herbivore	Flying	Diurnal
Aphaenogaster araneoides	Carnivore	Walking	Diurnal
Dinoponera gigantea	Carnivore	Walking	Diurnal
Formica rufa	Carnivore	Walking	Diurnal
Linepithema humile	Carnivore	Walking	Diurnal
Myrmecocystus mimicus	Carnivore	Walking	Diurnal
Pogonomyrmex maricopa	Herbivore	Walking	Nocturnal
Pogonomyrmex naegelii	Herbivore	Walking	Diurnal
Pogonomyrmex naegelii	Herbivore	Walking	Diurnal
Pogonomyrmex occidentalis	Herbivore	Walking	Diurnal
Pogonomyrmex occidentalis	Herbivore	Walking	Diurnal
Temnothorax rugatulus	Carnivore	Walking	Diurnal
Muscidifurax raptorellus	Herbivore	Flying	Diurnal
Trichogramma pretiosum	Herbivore	Flying	Diurnal
Trichogramma pretiosum	Herbivore	Flying	Diurnal
Polistes riparius	Herbivore	Flying	Diurnal
Polistes snelleni	Herbivore	Flying	Diurnal
Paysandisia archon	Herbivore	Flying	Diurnal
Paysandisia archon	Herbivore	Flying	Diurnal
Diatraea grandiosella	Herbivore	Flying	Nocturnal
Diatraea grandiosella	Herbivore	Flying	Nocturnal
Ostrinia nubialis	Herbivore	Flying	Nocturnal
Dysauxes ancilla	Herbivore	Flying	Diurnal
Dysauxes ancilla	Herbivore	Flying	Diurnal
Agrotis exclamationis	Herbivore	Flying	Nocturnal
Agrotis puta	Herbivore	Flying	Nocturnal
Amphipoea oculea	Herbivore	Flying	Nocturnal
Amphipyra pyramidea	Herbivore	Flying	Nocturnal
Apamea monoglypha	Herbivore	Flying	Nocturnal
Autographa gamma	Herbivore	Flying	Nocturnal
Axylia putris	Herbivore	Flying	Nocturnal
Hoplodrina ambigua	Herbivore	Flying	Nocturnal
Hoplodrina octogenaria	Herbivore	Flying	Nocturnal
Hydraecia micacea	Herbivore	Flying	Nocturnal
Lacanobia oleracea	Herbivore	Flying	Nocturnal
Mesapamea didyma	Herbivore	Flying	Nocturnal
Mesapamea secalis	Herbivore	Flying	Nocturnal
Mythimna impura	Herbivore	Flying	Nocturnal
Mythimna pallens	Herbivore	Flying	Nocturnal
Noctua comes	Herbivore	Flying	Nocturnal
Noctua janthe	Herbivore	Flying	Nocturnal
Noctua pronuba	Herbivore	Flying	Nocturnal
Ochropleura plecta	Herbivore	Flying	Nocturnal
Omphaloscelis lunosa	Herbivore	Flying	Nocturnal
Phlogophora meticulosa	Herbivore	Flying	Nocturnal
Xestia c nigrum	Herbivore	Flying	Nocturnal
Xestia triangulum	Herbivore	Flying	Nocturnal
Xestia xanthographa	Herbivore	Flying	Nocturnal
Boloria eunomia	Herbivore	Flying	Diurnal
Boloria eunomia	Herbivore	Flying	Diurnal
Boloria napaea	Herbivore	Flying	Diurnal
Boloria pales	Herbivore	Flying	Diurnal
Euphydryas aurinia	Herbivore	Flying	Diurnal
Euphydryas aurinia	Herbivore	Flying	Diurnal
Heliconius erato	Herbivore	Flying	Diurnal
Heliconius erato	Herbivore	Flying	Diurnal
Junonia coenia	Herbivore	Flying	Diurnal
Junonia coenia	Herbivore	Flying	Diurnal
Aporia crataegi	Herbivore	Flying	Diurnal
Aporia crataegi	Herbivore	Flying	Diurnal
Aporia crataegi	Herbivore	Flying	Diurnal
Aporia crataegi	Herbivore	Flying	Diurnal
Plutella xylostella	Herbivore	Flying	Nocturnal
Plutella xylostella	Herbivore	Flying	Nocturnal
Tenodera sinensis	Carnivore	Walking	Diurnal
Tenodera sinensis	Carnivore	Walking	Diurnal
Tenodera sinensis	Carnivore	Walking	Diurnal
Tenodera sinensis	Carnivore	Walking	Diurnal
Anax imperator	Carnivore	Flying	Diurnal
Anax imperator	Carnivore	Flying	Diurnal
Calopteryx exul	Carnivore	Flying	Diurnal
Calopteryx exul	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Calopteryx splendens	Carnivore	Flying	Diurnal
Hetaerina cruentata	Carnivore	Flying	Diurnal
Argia vivida	Carnivore	Flying	Diurnal
Argia vivida	Carnivore	Flying	Diurnal
Argia vivida	Carnivore	Flying	Diurnal
Coenagrion mercuriale	Carnivore	Flying	Diurnal
Kalyptogaster erronea	Carnivore	Flying	Diurnal
Kalyptogaster erronea	Carnivore	Flying	Diurnal
Gomphus lucasii	Carnivore	Flying	Diurnal
Gomphus lucasii	Carnivore	Flying	Diurnal
Gomphus lucasii	Carnivore	Flying	Diurnal
Neurothemis tullia	Carnivore	Flying	Diurnal
Sympetrum depressiusculum	Carnivore	Flying	Diurnal
Sympetrum depressiusculum	Carnivore	Flying	Diurnal
Cordillacris crenulata	Herbivore	Flying	Diurnal
Dactylotum variegatum	Herbivore	Walking	Diurnal
Pseudochorthippus montanus	Herbivore	Walking	Diurnal
Trachyrhachys kiowa	Herbivore	Flying	Diurnal
Trimerotropis pallidipennis	Herbivore	Flying	Diurnal
Deinacrida heteracantha	Herbivore	Walking	Nocturnal
Deinacrida heteracantha	Herbivore	Walking	Nocturnal
Deinacrida rugosa	Herbivore	Walking	Nocturnal
Deinacrida rugosa	Herbivore	Walking	Nocturnal
Deinacrida rugosa	Herbivore	Walking	Nocturnal
Deinacrida rugosa	Herbivore	Walking	Nocturnal
Pholidoptera griseoaptera	Carnivore	Walking	Diurnal
Pholidoptera griseoaptera	Carnivore	Walking	Diurnal
Pholidoptera griseoaptera	Carnivore	Walking	Diurnal
Pholidoptera griseoaptera	Carnivore	Walking	Diurnal
Pholidoptera griseoaptera	Carnivore	Walking	Diurnal
Poecilimon veluchianus	Herbivore	Walking	Nocturnal
Poecilimon veluchianus	Herbivore	Walking	Nocturnal
Acerentomon nemorale	Decomposer	Walking	-
Acerentomon nemorale	Decomposer	Walking	-
Lissachatina fulica	Herbivore	Crawling	Nocturnal
Deroceras reticulatum	Herbivore	Crawling	Nocturnal
Deroceras reticulatum	Herbivore	Crawling	Nocturnal
Deroceras reticulatum	Herbivore	Crawling	Nocturnal
Arion lusitanicus	Herbivore	Crawling	Nocturnal
Arion vulgaris	Herbivore	Crawling	Nocturnal
Arion vulgaris	Herbivore	Crawling	Nocturnal
Arion vulgaris	Herbivore	Crawling	Nocturnal
Thersites mitchellae	Herbivore	Crawling	Nocturnal
Thersites mitchellae	Herbivore	Crawling	Nocturnal
Allogona townsendiana	Herbivore	Crawling	Nocturnal
Arianta arbustorum	Herbivore	Crawling	Nocturnal
Helix aspersa	Herbivore	Crawling	Nocturnal
Theba pisana	Herbivore	Crawling	Nocturnal
Cernuella virgata	Herbivore	Crawling	Nocturnal
Cernuella virgata	Herbivore	Crawling	Nocturnal
Trochoidea seetzenii	Herbivore	Crawling	Diurnal
Trochoidea seetzenii	Herbivore	Crawling	Diurnal
Euglandina rosea	Carnivore	Crawling	Nocturnal
Heterorhabditis bacteriophora	Carnivore	Crawling	-
Heterorhabditis bacteriophora	Carnivore	Crawling	-
Heterorhabditis heliothidis	Carnivore	Crawling	-
Steinernema carpocapsae	Carnivore	Crawling	-
Steinernema feltiae	Carnivore	Crawling	
Steinernema glaseri	Carnivore	Crawling	-
Steinernema glaseri	Carnivore	Crawling	
